ordinals,dates
715145,1/1/1959
715176,2/1/1959
715204,3/1/1959
715235,4/1/1959
715265,5/1/1959
715296,6/1/1959
715326,7/1/1959
715357,8/1/1959
715388,9/1/1959
715418,10/1/1959
715449,11/1/1959
715479,12/1/1959
715510,1/1/1960
715541,2/1/1960
715570,3/1/1960
715601,4/1/1960
715631,5/1/1960
715662,6/1/1960
715692,7/1/1960
715723,8/1/1960
715754,9/1/1960
715784,10/1/1960
715815,11/1/1960
715845,12/1/1960
715876,1/1/1961
715907,2/1/1961
715935,3/1/1961
715966,4/1/1961
715996,5/1/1961
716027,6/1/1961
716057,7/1/1961
716088,8/1/1961
716119,9/1/1961
716149,10/1/1961
716180,11/1/1961
716210,12/1/1961
716241,1/1/1962
716272,2/1/1962
716300,3/1/1962
716331,4/1/1962
716361,5/1/1962
716392,6/1/1962
716422,7/1/1962
716453,8/1/1962
716484,9/1/1962
716514,10/1/1962
716545,11/1/1962
716575,12/1/1962
716606,1/1/1963
716637,2/1/1963
716665,3/1/1963
716696,4/1/1963
716726,5/1/1963
716757,6/1/1963
716787,7/1/1963
716818,8/1/1963
716849,9/1/1963
716879,10/1/1963
716910,11/1/1963
716940,12/1/1963
716971,1/1/1964
717002,2/1/1964
717031,3/1/1964
717062,4/1/1964
717092,5/1/1964
717123,6/1/1964
717153,7/1/1964
717184,8/1/1964
717215,9/1/1964
717245,10/1/1964
717276,11/1/1964
717306,12/1/1964
717337,1/1/1965
717368,2/1/1965
717396,3/1/1965
717427,4/1/1965
717457,5/1/1965
717488,6/1/1965
717518,7/1/1965
717549,8/1/1965
717580,9/1/1965
717610,10/1/1965
717641,11/1/1965
717671,12/1/1965
717702,1/1/1966
717733,2/1/1966
717761,3/1/1966
717792,4/1/1966
717822,5/1/1966
717853,6/1/1966
717883,7/1/1966
717914,8/1/1966
717945,9/1/1966
717975,10/1/1966
718006,11/1/1966
718036,12/1/1966
718067,1/1/1967
718098,2/1/1967
718126,3/1/1967
718157,4/1/1967
718187,5/1/1967
718218,6/1/1967
718248,7/1/1967
718279,8/1/1967
718310,9/1/1967
718340,10/1/1967
718371,11/1/1967
718401,12/1/1967
718432,1/1/1968
718463,2/1/1968
718492,3/1/1968
718523,4/1/1968
718553,5/1/1968
718584,6/1/1968
718614,7/1/1968
718645,8/1/1968
718676,9/1/1968
718706,10/1/1968
718737,11/1/1968
718767,12/1/1968
718798,1/1/1969
718829,2/1/1969
718857,3/1/1969
718888,4/1/1969
718918,5/1/1969
718949,6/1/1969
718979,7/1/1969
719010,8/1/1969
719041,9/1/1969
719071,10/1/1969
719102,11/1/1969
719132,12/1/1969
719163,1/1/1970
719194,2/1/1970
719222,3/1/1970
719253,4/1/1970
719283,5/1/1970
719314,6/1/1970
719344,7/1/1970
719375,8/1/1970
719406,9/1/1970
719436,10/1/1970
719467,11/1/1970
719497,12/1/1970
719528,1/1/1971
719559,2/1/1971
719587,3/1/1971
719618,4/1/1971
719648,5/1/1971
719679,6/1/1971
719709,7/1/1971
719740,8/1/1971
719771,9/1/1971
719801,10/1/1971
719832,11/1/1971
719862,12/1/1971
719893,1/1/1972
719924,2/1/1972
719953,3/1/1972
719984,4/1/1972
720014,5/1/1972
720045,6/1/1972
720075,7/1/1972
720106,8/1/1972
720137,9/1/1972
720167,10/1/1972
720198,11/1/1972
720228,12/1/1972
720259,1/1/1973
720290,2/1/1973
720318,3/1/1973
720349,4/1/1973
720379,5/1/1973
