,unemployment_rate
345,5.9
440,5.7
235,6.2
339,6.6
312,7.3
717,3.7
334,7.0
91,3.8
500,4.1
599,6.8
159,5.8
70,5.1
605,9.4
132,3.5
45,5.6
71,4.8
255,6.3
335,6.9
441,5.6
205,7.9
136,4.6
399,7.4
166,5.6
165,5.5
29,7.1
598,6.5
488,4.2
553,5.3
291,10.3
137,4.8
383,6.2
484,4.3
236,5.9
619,9.4
7,5.1
358,5.4
690,4.9
74,5.1
558,5.0
228,6.4
146,5.9
267,7.4
580,4.5
133,3.9
672,5.6
532,6.0
718,3.8
426,6.1
42,5.5
458,5.2
109,3.7
315,7.2
57,5.5
413,7.1
449,5.6
607,9.5
571,4.7
478,4.5
25,6.6
611,9.9
307,7.5
630,9.1
369,5.3
382,5.9
111,3.7
83,4.1
52,5.7
447,5.5
303,7.8
702,4.3
618,9.4
199,8.6
537,6.1
328,7.1
301,8.0
333,7.0
140,5.1
427,6.1
261,7.5
19,5.5
729,3.5
141,5.4
325,6.7
295,9.4
523,5.8
84,4.0
62,5.4
251,5.9
597,6.1
30,6.9
689,4.8
260,7.7
266,7.4
310,7.4
744,6.7
183,5.1
585,4.7
445,5.6
646,7.8
224,7.0
412,7.1
433,5.6
292,10.2
300,8.3
410,7.1
603,8.7
177,4.8
524,5.7
332,6.9
164,5.6
249,5.9
681,5.0
75,4.7
437,5.6
372,5.4
105,3.8
115,3.7
483,4.2
93,3.7
378,5.2
90,3.8
397,7.3
734,3.5
712,4.0
452,5.1
457,5.3
12,5.3
44,5.7
43,5.4
168,5.2
674,5.5
591,5.1
661,6.6
179,4.8
614,9.8
517,5.7
178,4.6
531,5.9
538,6.0
258,7.6
329,7.2
745,6.4
16,5.2
730,3.6
257,7.5
616,9.9
604,9.0
747,6.0
444,5.6
512,4.9
341,6.3
699,4.4
424,6.4
10,5.7
250,6.0
23,6.1
222,7.2
625,9.1
748,6.0
751,5.4
527,5.9
645,7.8
204,8.2
498,4.0
94,3.7
368,5.2
759,3.6
501,3.9
285,10.1
185,5.1
622,9.4
364,5.2
154,5.8
76,4.8
528,6.0
278,8.9
69,5.1
474,4.5
189,5.9
272,7.4
237,6.0
89,3.9
653,7.5
118,3.4
126,3.5
632,9.0
290,10.4
239,5.9
1,6.0
758,3.8
353,5.6
671,5.8
432,5.5
279,9.0
715,3.8
117,3.4
229,6.4
544,5.6
588,5.0
508,4.4
275,8.3
319,7.4
529,5.8
145,5.9
694,4.9
469,4.6
695,4.7
726,3.6
269,7.5
545,5.6
308,7.5
311,7.2
418,6.8
47,5.7
350,5.7
494,4.1
262,7.5
196,8.8
766,
644,8.1
108,3.8
60,5.5
577,4.6
406,7.3
101,3.8
642,8.2
688,5.1
735,4.4
421,6.6
180,4.9
305,7.4
396,7.3
665,6.3
738,11.0
150,5.9
125,3.4
610,10.0
668,6.1
186,5.4
519,5.7
678,5.3
434,5.4
756,3.9
765,3.5
322,7.1
354,5.4
708,4.1
143,5.9
502,3.9
142,5.5
400,7.4
491,4.1
321,7.1
20,5.6
173,4.9
626,9.0
313,7.3
391,6.8
714,4.0
13,5.2
408,7.4
409,7.3
306,7.2
355,5.4
26,6.9
635,8.6
170,5.0
39,5.6
723,3.8
246,5.7
299,8.5
640,8.2
417,6.7
526,5.7
273,7.6
589,5.0
155,6.0
127,3.5
549,5.4
342,6.2
431,5.6
288,10.8
114,3.7
636,8.5
174,4.9
360,5.3
482,4.4
58,5.5
530,5.9
223,6.9
281,9.4
18,5.4
507,4.3
323,7.0
256,6.9
516,5.7
576,4.4
736,14.7
191,6.6
116,3.5
680,5.1
465,4.9
95,3.6
181,5.1
302,7.8
559,5.0
568,4.7
539,5.8
536,6.1
679,5.2
520,5.9
6,5.0
752,5.2
46,5.4
594,5.6
583,4.7
172,5.0
17,5.1
49,5.7
742,6.9
703,4.3
4,5.2
555,5.2
542,5.6
317,7.2
540,5.7
481,4.3
448,5.6
707,4.2
284,9.8
97,3.9
286,10.4
514,5.3
226,6.8
27,6.9
606,9.5
264,7.2
438,5.6
51,5.7
365,5.2
230,6.3
38,5.5
158,5.7
238,5.8
737,13.2
375,5.2
470,4.6
371,5.4
443,5.6
739,10.2
176,4.8
654,7.5
128,3.5
570,4.6
195,8.6
656,7.2
750,5.9
384,6.3
504,3.9
741,7.9
641,8.2
740,8.4
163,5.6
552,5.4
153,6.0
535,6.2
550,5.5
590,4.9
112,3.5
227,6.8
627,9.0
104,3.8
422,6.6
420,6.5
120,3.4
54,5.6
152,6.1
404,7.6
722,3.8
208,7.7
649,8.0
596,6.1
9,5.5
624,9.3
37,5.8
453,5.2
254,6.3
304,7.7
584,4.6
620,9.5
710,4.1
263,7.5
298,8.8
415,6.9
151,6.0
612,9.9
683,5.1
551,5.4
489,4.2
148,5.9
147,6.0
582,4.6
711,4.0
579,4.4
349,5.7
464,4.8
326,7.2
187,5.5
124,3.4
655,7.3
144,6.1
732,3.6
198,8.8
280,9.3
294,10.1
401,7.6
123,3.4
184,5.1
203,8.3
439,5.7
247,5.7
416,6.8
731,3.6
130,3.7
403,7.7
608,9.6
600,7.3
696,4.7
220,7.2
698,4.6
587,4.7
761,3.6
595,5.8
387,6.8
743,6.7
510,4.5
268,7.2
633,9.0
442,5.5
497,4.0
113,3.5
233,6.0
669,5.9
374,5.3
234,5.9
609,9.8
318,7.4
411,7.0
727,3.7
359,5.3
259,7.8
283,9.8
377,5.4
385,6.4
225,6.8
728,3.7
629,9.0
473,4.4
348,5.7
506,4.2
755,4.2
709,4.0
692,4.9
657,7.2
650,7.7
557,5.1
578,4.5
86,3.8
243,5.8
160,5.7
525,5.7
36,6.0
541,5.7
171,4.9
659,6.9
651,7.5
721,4.0
96,3.8
564,4.9
241,5.9
575,4.5
461,4.9
554,5.4
675,5.4
207,7.6
393,6.9
398,7.4
652,7.6
218,7.6
5,5.1
643,8.2
686,4.9
613,9.8
547,5.5
99,3.8
574,4.4
407,7.4
503,3.9
48,5.5
33,6.7
201,8.4
135,4.4
28,7.0
677,5.6
231,6.3
490,4.1
379,5.5
289,10.4
419,6.6
392,6.9
593,5.4
499,4.0
139,5.0
63,5.4
472,4.3
648,7.9
129,3.7
746,6.2
521,5.8
65,5.1
15,5.4
157,5.8
41,5.5
493,4.0
380,5.7
188,5.5
217,7.5
53,5.9
338,6.6
296,9.5
252,6.0
462,5.0
456,5.4
764,3.7
270,7.5
202,8.4
162,5.7
556,5.2
402,7.8
477,4.6
106,4.0
566,4.8
390,6.9
2,5.9
716,3.8
562,5.0
81,4.3
206,7.7
35,6.1
509,4.3
428,6.0
455,5.4
367,5.2
92,3.8
340,6.3
565,4.7
346,6.0
242,5.9
14,4.8
316,7.3
601,7.8
388,6.7
274,7.9
167,5.3
760,3.6
647,7.7
485,4.2
749,5.8
505,4.2
244,5.8
567,4.7
563,5.0
687,5.0
190,6.0
700,4.4
476,4.5
682,5.0
511,4.6
59,5.7
475,4.5
561,5.0
253,6.3
22,6.1
314,7.2
460,5.1
161,5.7
277,8.6
192,7.2
386,6.6
414,7.0
492,4.0
344,6.0
309,7.3
662,6.7
131,3.5
664,6.2
100,3.8
373,5.4
88,3.8
459,5.2
331,7.0
215,7.8
467,4.6
122,3.4
615,9.9
21,5.5
701,4.4
72,5.0
107,3.9
271,7.2
436,5.8
103,3.8
