DATE,IPB50001SQ
1919-01-01,4.6887
1919-04-01,4.7246
1919-07-01,5.2455
1919-10-01,5.1198
1920-01-01,5.5959
1920-04-01,5.3354
1920-07-01,5.2366
1920-10-01,4.5449
1921-01-01,3.8982
1921-04-01,3.8623
1921-07-01,3.9521
1921-10-01,4.2126
1922-01-01,4.5449
1922-04-01,4.8503
1922-07-01,5.1108
1922-10-01,5.7665
1923-01-01,5.9372
1923-04-01,6.2605
1923-07-01,6.0809
1923-10-01,5.8833
1924-01-01,5.9641
1924-04-01,5.4970
1924-07-01,5.3623
1924-10-01,5.8114
1925-01-01,6.1438
1925-04-01,6.1617
1925-07-01,6.1797
1925-10-01,6.4492
1926-01-01,6.4671
1926-04-01,6.5120
1926-07-01,6.6647
1926-10-01,6.7366
1927-01-01,6.7456
1927-04-01,6.6827
1927-07-01,6.5659
1927-10-01,6.3683
1928-01-01,6.5749
1928-04-01,6.6737
1928-07-01,6.9252
1928-10-01,7.2755
1929-01-01,7.5090
1929-04-01,7.7605
1929-07-01,7.8773
1929-10-01,7.3204
1930-01-01,6.9252
1930-04-01,6.6557
1930-07-01,6.0719
1930-10-01,5.6587
1931-01-01,5.5509
1931-04-01,5.5599
1931-07-01,5.1557
1931-10-01,4.6976
1932-01-01,4.4372
1932-04-01,3.9342
1932-07-01,3.8443
1932-10-01,4.1497
1933-01-01,3.9521
1933-04-01,4.7605
1933-07-01,5.7126
1933-10-01,4.9581
1934-01-01,5.2815
1934-04-01,5.5599
1934-07-01,5.0120
1934-10-01,5.1557
1935-01-01,5.8833
1935-04-01,5.8204
1935-07-01,6.0719
1935-10-01,6.5569
1936-01-01,6.4671
1936-04-01,7.0060
1936-07-01,7.3923
1936-10-01,7.8504
1937-01-01,8.1917
1937-04-01,8.3354
1937-07-01,8.2007
1937-10-01,6.7276
1938-01-01,5.9192
1938-04-01,5.7216
1938-07-01,6.3144
1938-10-01,6.9162
1939-01-01,7.1048
1939-04-01,7.1498
1939-07-01,7.6887
1939-10-01,8.5779
1940-01-01,8.2995
1940-04-01,8.4971
1940-07-01,8.9641
1940-10-01,9.4941
1941-01-01,10.3294
1941-04-01,11.0210
1941-07-01,11.4612
1941-10-01,11.7127
1942-01-01,12.2875
1942-04-01,12.1258
1942-07-01,12.7995
1942-10-01,13.8774
1943-01-01,14.6229
1943-04-01,15.0540
1943-07-01,15.8444
1943-10-01,16.5361
1944-01-01,16.7337
1944-04-01,16.6708
1944-07-01,16.6798
1944-10-01,16.6259
1945-01-01,16.3115
1945-04-01,15.5211
1945-07-01,13.3744
1945-10-01,11.8923
1946-01-01,11.3983
1946-04-01,11.6947
1946-07-01,12.8085
1946-10-01,13.4462
1947-01-01,13.7696
1947-04-01,13.7786
1947-07-01,13.8055
1947-10-01,14.1827
1948-01-01,14.3265
1948-04-01,14.4792
1948-07-01,14.6139
1948-10-01,14.4612
1949-01-01,13.9941
1949-04-01,13.5540
1949-07-01,13.5809
1949-10-01,13.5181
1950-01-01,14.2277
1950-04-01,15.4223
1950-07-01,16.6618
1950-10-01,16.9492
1951-01-01,17.2906
1951-04-01,17.3445
1951-07-01,16.9313
1951-10-01,17.0480
1952-01-01,17.4433
1952-04-01,17.1917
1952-07-01,17.6947
1952-10-01,18.9612
1953-01-01,19.3385
1953-04-01,19.6079
1953-07-01,19.6259
1953-10-01,18.7008
1954-01-01,18.1079
1954-04-01,18.0361
1954-07-01,18.1259
1954-10-01,18.6289
1955-01-01,19.6349
1955-04-01,20.4882
1955-07-01,20.8026
1955-10-01,21.2966
1956-01-01,21.3774
1956-04-01,21.2876
1956-07-01,21.1708
1956-10-01,21.9433
1957-01-01,22.1499
1957-04-01,21.8714
1957-07-01,21.9523
1957-10-01,21.0271
1958-01-01,19.8415
1958-04-01,19.5091
1958-07-01,20.5421
1958-10-01,21.4672
1959-01-01,22.4104
1959-04-01,23.4972
1959-07-01,22.5361
1959-10-01,22.6439
1960-01-01,24.0092
1960-04-01,23.4882
1960-07-01,23.1020
1960-10-01,22.5451
1961-01-01,22.2038
1961-04-01,23.0840
1961-07-01,23.8206
1961-10-01,24.6559
1962-01-01,25.0241
1962-04-01,25.2667
1962-07-01,25.5361
1962-10-01,25.7517
1963-01-01,26.2278
1963-04-01,26.9194
1963-07-01,27.0990
1963-10-01,27.5571
1964-01-01,27.9344
1964-04-01,28.5901
1964-07-01,29.0481
1964-10-01,29.4883
1965-01-01,30.6020
1965-04-01,31.3116
1965-07-01,31.9673
1965-10-01,32.6140
1966-01-01,33.5482
1966-04-01,34.2488
1966-07-01,34.7787
1966-10-01,35.1110
1967-01-01,34.9176
1967-04-01,34.7753
1967-07-01,35.0145
1967-10-01,35.9514
1968-01-01,36.4646
1968-04-01,36.9562
1968-07-01,37.2430
1968-10-01,37.8085
1969-01-01,38.5441
1969-04-01,38.7123
1969-07-01,39.1770
1969-10-01,38.9314
1970-01-01,37.9882
1970-04-01,37.7792
1970-07-01,37.6439
1970-10-01,36.8301
1971-01-01,37.5402
1971-04-01,37.8803
1971-07-01,37.9971
1971-10-01,38.8778
1972-01-01,40.5393
1972-04-01,41.3049
1972-07-01,41.8226
1972-10-01,43.2745
1973-01-01,44.5175
1973-04-01,44.8927
1973-07-01,45.2707
