DATE,TRFVOLUSM227SFWA
2000-01-01,228733.000000000000
2000-04-01,229581.000000000000
2000-07-01,229781.666666666667
2000-10-01,228123.000000000000
2001-01-01,231093.000000000000
2001-04-01,232280.000000000000
2001-07-01,232876.666666666667
2001-10-01,235703.333333333333
2002-01-01,236780.333333333333
2002-04-01,237323.333333333333
2002-07-01,239016.000000000000
2002-10-01,238764.000000000000
2003-01-01,236495.000000000000
2003-04-01,239812.333333333333
2003-07-01,243124.666666666667
2003-10-01,244078.333333333333
2004-01-01,245694.000000000000
2004-04-01,246568.666666666667
2004-07-01,247648.666666666667
2004-10-01,248074.666666666667
2005-01-01,248934.333333333333
2005-04-01,250335.666666666667
2005-07-01,248647.000000000000
2005-10-01,249013.666666666667
2006-01-01,252377.666666666667
2006-04-01,250371.333333333333
2006-07-01,249660.333333333333
2006-10-01,252731.000000000000
2007-01-01,252738.666666666667
2007-04-01,252902.000000000000
2007-07-01,253281.333333333333
2007-10-01,251116.000000000000
2008-01-01,250969.333333333333
2008-04-01,248072.333333333333
2008-07-01,245424.666666666667
2008-10-01,246622.666666666667
2009-01-01,246448.000000000000
2009-04-01,247055.000000000000
2009-07-01,246991.666666666667
2009-10-01,245030.000000000000
2010-01-01,244132.666666666667
2010-04-01,247959.000000000000
2010-07-01,249195.000000000000
2010-10-01,247351.333333333333
2011-01-01,246230.666666666667
2011-04-01,244813.666666666667
2011-07-01,245076.666666666667
2011-10-01,247475.666666666667
2012-01-01,250091.000000000000
2012-04-01,247406.666666666667
2012-07-01,245883.666666666667
2012-10-01,246202.000000000000
2013-01-01,249535.000000000000
2013-04-01,248716.000000000000
2013-07-01,249132.666666666667
2013-10-01,248252.666666666667
2014-01-01,249050.000000000000
2014-04-01,252100.666666666667
2014-07-01,252689.333333333333
2014-10-01,254169.000000000000
2015-01-01,255038.666666666667
2015-04-01,257834.666666666667
2015-07-01,258567.666666666667
2015-10-01,259822.000000000000
2016-01-01,262251.666666666667
2016-04-01,264554.666666666667
2016-07-01,264454.333333333333
2016-10-01,266371.000000000000
2017-01-01,265622.000000000000
2017-04-01,267733.000000000000
2017-07-01,267755.000000000000
2017-10-01,269749.666666666667
2018-01-01,268258.000000000000
2018-04-01,270067.000000000000
2018-07-01,269409.666666666667
2018-10-01,272244.000000000000
2019-01-01,272160.666666666667
2019-04-01,270985.666666666667
2019-07-01,273436.333333333333
2019-10-01,270497.333333333333
2020-01-01,264787.333333333333
2020-04-01,202416.333333333333
2020-07-01,249504.000000000000
2020-10-01,250921.333333333333
2021-01-01,259956.000000000000
2021-04-01,268595.000000000000
2021-07-01,273705.333333333333
2021-10-01,275265.666666666667
2022-01-01,271852.000000000000
2022-04-01,269358.333333333333
2022-07-01,.
